curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
Arnaldo Toro,,,,none,,,"curated = Arnaldo Toro Jr (2020s, Santeros de Aguada, F); pipeline only has Arnaldo Toro Sr (id 223, b.1969). No match."
Avry Holmes,,,,none,,,POOL
Ben Moore,,,,none,,,POOL
Benito Santiago Jr.,,,,none,,,POOL
Bobby Joe Hatton,,,,none,,,POOL; LEADERS
Bradley Camacho,,,,none,,,POOL
Brady Manek,,,,none,,,POOL
Brandon Goodwin,,,,none,,,POOL
Brandon Knight,,,,none,,,POOL
Braxton Key,,,,none,,,POOL
Bryan Gonzalez Colon,,,,none,,,POOL
Bryan Powell,,,,none,,,POOL
Bryce Cotton,,,,none,,,POOL
Bryn Forbes,,,,none,,,POOL
Cameron McGriff,,,,none,,,POOL
Carlos A Colon,,,,none,,,POOL
Carlos Yao Lopez,,,,none,,,POOL
Chaundee Brown Jr.,,,,none,,,POOL
Cheick Diallo,,,,none,,,POOL
Chinanu Onuaku,,,,none,,,POOL
Chris Duarte,,,,none,,,POOL
Christian M. Negron,,,,none,,,POOL
Christian Pizarro Rios,,,,none,,,POOL
Corey Jae Crowder,,,,none,,,POOL
Corey McKeithan,,,,none,,,POOL
D J Wilson,,,,none,,,POOL
D.J. Hogg,,,,none,,,POOL
Damian Jones,,,,none,,,POOL
Daniel Rosado,,,,none,,,POOL
Danilo Gallinari,,,,none,,,POOL; SEASON_AWARDS
Darius Bazley,,,,none,,,POOL
David Scott James Jr,,,,none,,,POOL
Deandre Pinckney,,,,none,,,POOL
DeMarcus Cousins,,,,none,,,POOL
Deonte Burton,,,,none,,,POOL
Derrick Walton,,,,none,,,POOL
Dewan Hernandez,,,,none,,,POOL
Diego Gonzalez Pellot,,,,none,,,POOL
Dimencio Vaughn,,,,none,,,POOL
Dyondre Dominguez,,,,none,,,POOL
Elijah Hughes,,,,none,,,POOL
Emmanuel Andujar,,,,none,,,POOL
Emmanuel Maldonado,,,,none,,,POOL; SEASON_AWARDS
Emmanuel Mudiay,,,,none,,,POOL; MVP_YEARS; SEASON_AWARDS
Emmy Andujar,,,,none,,,POOL
Enrique Ramos,,,,none,,,"rej 1836 (that is Peter John Ramos, matched separately); Enrique Ramos not in pipeline"
Eric Ayala,,,,none,,,POOL
Eugene German,,,,none,,,POOL
Felix A. Rivera Vega,,,,none,,,POOL
Fernando Caballero Acevedo,,,,none,,,POOL
Gabe York,,,,none,,,POOL
Gabriel J. Belardo,,,,none,,,POOL
Gaby Belardo,,,,none,,,POOL
Geancarlo Peguero,,,,none,,,POOL
George Alexander Hamilton,,,,none,,,POOL
George Conditt IV,,,,none,,,POOL; SEASON_AWARDS
Georgie Pacheco-Ortiz,,,,none,,,POOL
Gerardo Texeira,,,,none,,,POOL
Giancarlo Rosado,,,,none,,,POOL
Gianfranco Grafals,,,,none,,,POOL
Giovanni Santiago,,,,none,,,POOL
Grant Basile,,,,none,,,POOL
Harold Perez Abreu,,,,none,,,POOL
Hassan Whiteside,,,,none,,,POOL
Hunter Tyson,,,,none,,,POOL
Ian Clark,,,,none,,,POOL
Ibrahima Sylla,,,,none,,,POOL
Isaiah Hicks,,,,none,,,POOL
Isaiah Palermo,,,,none,,,POOL
Isiah Gaiter,,,,none,,,POOL
Ismael Romero,,,,none,,,POOL
Ivan Gandia-Rosa,,,,none,,,POOL
Ja Kair Sanchez,,,,none,,,POOL
Jack Edward McVeigh,,,,none,,,POOL
Jack McVeigh,,,,none,,,POOL
Jacob Wiley,,,,none,,,POOL
Jae Crowder,,,,none,,,POOL
Jahlil Okafor,,,,none,,,POOL
Jalen Bernard Crutcher,,,,none,,,POOL
Jalen Crutcher,,,,none,,,POOL
Jamarion Sharp,,,,none,,,POOL
Jameer Nelson Jr,,,,none,,,POOL
Jampier Lezcano,,,,none,,,POOL
Janiel Jafet Romer,,,,none,,,POOL
Jared Ruiz,,,,none,,,POOL
Jared Sullinger,,,,none,,,POOL
Jase Febres,,,,none,,,POOL
Jassel Pérez,,,,none,,,POOL
JaVale McGee,,,,none,,,POOL; SEASON_AWARDS
Javier Antonio Colón,,,,none,,,POOL; LEADERS
Javier Ezquerra,,,,none,,,POOL
Jay Shawn Alvarez,,,,none,,,POOL
Jayden Martinez,,,,none,,,POOL
Jaylen Nowell,,,,none,,,POOL
Jaylin Galloway,,,,none,,,POOL
Jeff Early Jr.,,,,none,,,POOL
Jesus A. Cruz Galarza,,,,none,,,POOL
Jevin Nikolas Muniz,,,,none,,,POOL
Jhivvan Jackson,,,,none,,,POOL; SEASON_AWARDS
Joel Soriano,,,,none,,,POOL
John Brown III,,,,none,,,POOL
John Jenkins lll,,,,none,,,POOL
John Meeks,,,,none,,,POOL
Johned Walker,,,,none,,,POOL
Jonathan Zhao Olmos,,,,none,,,POOL
Jordan Daniel Cintron,,,,none,,,POOL
Jorge Brian Diaz,,,,none,,,POOL
Jorge L. Matos,,,,none,,,POOL
Jorge L. Pacheco,,,,none,,,POOL
Jose Carlos Placer Diaz,,,,none,,,POOL
Jose Gadiel Rodriguez,,,,none,,,POOL
Jose Roman Angueira,,,,none,,,POOL
Joseph Bull,,,,none,,,POOL
Josh Perkins,,,,none,,,POOL
Joshua Denton,,,,none,,,POOL
José Manuel Baeza,,,,none,,,SEASON_AWARDS
José Ortiz,,,,none,,,"curated pos=C + Cangrejeros + HOF 1980-2006 => Piculin (id 1271, mapped via his own entry); owner also raised a Carolina SG. Left unmatched pending owner. NOT id 2722 (2012-13 Guayama guard)."
José Quiñones,,,,none,,,"rej 1069 (Joel Quiñones, different given name)"
Juan Báez,,,,none,,,"rej 782 (""Baez, George"") name-level mismatch - needs owner ID"
Juan Cardona,,,,none,,,SEASON_AWARDS
Juan Miguel Suero,,,,none,,,POOL
Juan Pablo Pineiro,,,,none,,,POOL
K. Davis,,,,none,,,SEASON_AWARDS
Kaleb Werson,,,,none,,,POOL
Kalin Lucas,,,,none,,,POOL
Kay Felder,,,,none,,,POOL
Kendall Munson,,,,none,,,POOL
Kendric Davis,,,,none,,,POOL
Kenneth Faried,,,,none,,,POOL
Kevin Allen,,,,none,,,POOL
Kobi Simmons,,,,none,,,POOL
Kyle Rose,,,,none,,,POOL
L.J. Figueroa,,,,none,,,POOL
Louis King,,,,none,,,POOL
Luis D. Cuascut,,,,none,,,POOL
Luis Henriquez,,,,none,,,POOL
Luis Moya,,,,none,,,POOL
Malachi Smith,,,,none,,,POOL
Malik Beasley,,,,none,,,POOL
Malik Williams,,,,none,,,POOL
Manny Camper,,,,none,,,POOL
Manuel Camper,,,,none,,,POOL
Marlon Hargis,,,,none,,,POOL
Marvin Eliel Mantilla,,,,none,,,POOL
Matthew Lee,,,,none,,,POOL
Max Abmas,,,,none,,,POOL
Maxwell Abmas,,,,none,,,POOL
Melo Trimble,,,,none,,,POOL
Michael O Connell,,,,none,,,POOL
Mike Scott,,,,none,,,POOL
Milton Doyle,,,,none,,,POOL
Mitchell Creek,,,,none,,,POOL
Montrezl Harrell,,,,none,,,POOL
Moses Brown,,,,none,,,POOL; SEASON_AWARDS
Nathan Sobey,,,,none,,,POOL
Nathaniel Mason,,,,none,,,POOL
Neftali Acevedo Diaz,,,,none,,,POOL
Neftali Alvarez,,,,none,,,POOL
Nick Lucena,,,,none,,,POOL
Nick Perkins,,,,none,,,POOL
Nick Rakocevic,,,,none,,,POOL
Noah Horchler,,,,none,,,POOL
Norris Cole,,,,none,,,POOL
