script,original_url,timestamp,digest,query,local_file
lideres.asp,http://www.bsnpr.com/iframes/lideres.asp,20080704074127,E2SOMB7B2FSGKIXDDMRCGJS2AAAHDRF5,,20080704074127_E2SOMB7B.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050307212324,HIKHY6J4Z4C75AVEX5RDZUSYLY4OHUDH,grupo=BS24&serie=1,20050307212324_HIKHY6J4.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20040605020541,HQIUGCXH6V5VSYZXO5KGEOFZ5GQZNQDB,grupo=BS24&serie=1,20040605020541_HQIUGCXH.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20041204213726,HRV6WNAZNCNDOBTZKW6FJ25K4AE2LWDK,grupo=BS24&serie=1,20041204213726_HRV6WNAZ.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050126092701,HRV6WNAZNCNDOBTZKW6FJ25K4AE2LWDK,grupo=BS24&serie=1,20041204213726_HRV6WNAZ.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050207145356,HRV6WNAZNCNDOBTZKW6FJ25K4AE2LWDK,grupo=BS24&serie=1,20041204213726_HRV6WNAZ.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp,20040514054927,KVEEHMETYTX5CAU6LUJC2GTYJUKHKOBH,,20040514054927_KVEEHMET.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20040803160210,QXZIECYQHSTQ523NUPF4P2IADAGOQPNM,grupo=BS24&serie=1,20040803160210_QXZIECYQ.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20041031052205,REDFFOYI3YBMCNQCWB5YMBXA5JDVDVK4,grupo=BS24&serie=1,20041031052205_REDFFOYI.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20041122085329,REDFFOYI3YBMCNQCWB5YMBXA5JDVDVK4,grupo=BS24&serie=1,20041031052205_REDFFOYI.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050311094633,SR2LTDTLQIJWTVNNWUSFA2UYE7U7L2ZH,grupo=BS24&serie=1,20050311094633_SR2LTDTL.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050409213344,SR2LTDTLQIJWTVNNWUSFA2UYE7U7L2ZH,grupo=BS24&serie=1,20050311094633_SR2LTDTL.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20050908000256,SR2LTDTLQIJWTVNNWUSFA2UYE7U7L2ZH,grupo=BS24&serie=1,20050311094633_SR2LTDTL.html
lideres.asp,http://www.bsnpr.com:80/lideres.asp?grupo=BS24&serie=1,20040405004528,XWFFN6SY5LARD6J4CNVK6WUQ4ZZMKFLY,grupo=BS24&serie=1,20040405004528_XWFFN6SY.html
lideres2000.asp,http://www.bsnpr.com:80/lideres2000.asp?t=3,20030811092455,CNQYT3YE3ROLX2ZUT3ZOX7BXPJBKLGX3,t=3,20030811092455_CNQYT3YE.html
lideres2000.asp,http://www.bsnpr.com:80/lideres2000.asp?t=3,20031020102210,CNQYT3YE3ROLX2ZUT3ZOX7BXPJBKLGX3,t=3,20030811092455_CNQYT3YE.html
lideres2000.asp,http://bsnpr.com:80/lideres2000.asp?t=3,20020818154359,G5KSZRL7F3UZYYFS4Z5AMQES2PIYPLSK,t=3,20020818154359_G5KSZRL7.html
lideres2000.asp,http://www.bsnpr.com:80/lideres2000.asp?t=3,20021005150349,G5KSZRL7F3UZYYFS4Z5AMQES2PIYPLSK,t=3,20020818154359_G5KSZRL7.html
lideres2000.asp,http://bsnpr.com:80/lideres2000.asp?t=3,20021230072804,G5KSZRL7F3UZYYFS4Z5AMQES2PIYPLSK,t=3,20020818154359_G5KSZRL7.html
lideres2000.asp,http://www.bsnpr.com:80/lideres2000.asp?t=3,20030228203431,G5KSZRL7F3UZYYFS4Z5AMQES2PIYPLSK,t=3,20020818154359_G5KSZRL7.html
lideres2000.asp,http://bsnpr.com:80/lideres2000.asp?t=3,20030610130049,JKJVBMQK67EJAUWVWUX36G4T2N7TQHU7,t=3,20030610130049_JKJVBMQK.html
lideres2000.asp,http://www.bsnpr.com:80/lideres2000.asp?t=3,20030621184236,JKJVBMQK67EJAUWVWUX36G4T2N7TQHU7,t=3,20030610130049_JKJVBMQK.html
