bsnpr_id,season,franchise_id,games,points,players_source_url,jug05_source_url,jug05_team_raw,jug05_retrieved_at
81,2002,maratonistas_coamo,2,22,https://web.archive.org/web/20071211045931id_/http://bsnpr.com:80/jugadores/jugador.asp?id=81&e=,https://web.archive.org/web/20070404012113id_/http://www.bsnpr.com:80/jug05.asp?r3=QSBVQ&r2=QQRXUFBMBV&r=00029&e=,COAMO,2026-09-10T02:12:19Z
87,1999,criollos_caguas,19,37,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,CAGUAS,2026-09-10T01:55:51Z
87,2000,criollos_caguas,3,3,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,CAGUAS,2026-09-10T01:55:51Z
87,2004,criollos_caguas,21,172,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,CAGUAS,2026-09-10T01:55:51Z
93,2003,titanes_morovis,29,114,https://web.archive.org/web/20090110001639id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=93&e=,https://web.archive.org/web/20061119230228id_/http://www.bsnpr.com/jug05.asp?r2=462746RX1G&r3=00178&r=00541&e=GUAYAMA,MOROVIS,2026-09-10T01:59:40Z
93,2004,piratas_quebradillas,29,126,https://web.archive.org/web/20090110001639id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=93&e=,https://web.archive.org/web/20061119230228id_/http://www.bsnpr.com/jug05.asp?r2=462746RX1G&r3=00178&r=00541&e=GUAYAMA,QUEBRADILLAS,2026-09-10T01:59:40Z
118,1995,mets_guaynabo,24,51,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,GUAYNABO,2026-09-10T02:11:49Z
118,1996,mets_guaynabo,29,123,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,GUAYNABO,2026-09-10T02:11:49Z
118,1997,mets_guaynabo,32,235,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,GUAYNABO,2026-09-10T02:11:49Z
118,1998,mets_guaynabo,24,251,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,GUAYNABO,2026-09-10T02:11:49Z
