tranche,key,original_url,timestamp,digest,local_file
B,148,http://www.bsnpr.com/jugadores/jugador.asp?id=148,20171030093558,JH3RQF7ME3QBZI67ZHS2ESYPJKYYT3NN,148_20171030093558.html
B,1483,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1483&e=,20070828225517,VGOLBN4Y6X3G2GUS5MLX7GJTLMDFIULD,1483_20070828225517.html
B,1486,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1486&e=,20070829042835,PWWK3EVDFERXVIHM3QIR6TIWPJLQVT5A,1486_20070829042835.html
B,1490,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1490&e=,20070828230257,KWZX4HIAMIG4M5LT6GS2HTGAXPVKNY2X,1490_20070828230257.html
B,1493,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1493&e=,20070829041012,CS4D2DMISR77ZO6JMKKG2C5TMDF3V4CU,1493_20070829041012.html
B,1497,http://bsnpr.com:80/jugadores/jugador.asp?id=1497&e=7,20100310231433,GQRIALHU54JCNW7RWDKTFAF3AS4K3C3A,1497_20100310231433.html
B,1498,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1498&e=,20091209190556,EBAVX3MBAH7BO7KXHIV57G5JBWBSGAWX,1498_20091209190556.html
B,1499,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1499&e=,20070829041943,JOCF4H55FLMUYLNR6B6GP2W3NRSM7Q7C,1499_20070829041943.html
B,1501,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1501&e=,20070828231651,RH47UQFFIZE6LOGFKNKSXTCX26LCRY3D,1501_20070828231651.html
B,1502,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1502&e=,20170801070847,6MVC4VBL6AM7MJBJH36VSW3VZGRFMDU6,1502_20170801070847.html
B,1507,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1507&e=,20070829040018,C4JDM63R4DDCPW7BQTIND7BZVU74FKGC,1507_20070829040018.html
B,151,http://www.bsnpr.com:80/jugadores/jugador.asp?id=151&e=,20140122195645,HCFIXRLMBUO4N6RB4PO63K2OW23KLT46,151_20140122195645.html
B,1512,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1512&e=8,20100227055903,HKVFR4XRD7B5QM27SBMFKZ4Y5I6VP4WH,1512_20100227055903.html
B,152,http://www.bsnpr.com:80/jugadores/jugador.asp?id=152&e=,20070829041922,MZBPANLJREA2OCKY2GCDEY4S43CY7FJF,152_20070829041922.html
B,1523,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1523&e=,20070828230520,DAOSCSQPDLWGYSXUQJSJLVQQ2VTUGYUS,1523_20070828230520.html
B,1524,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1524&e=,20070829040642,ZHFTAZYF2R5OSXQDAJN4VVKFAUNOCXCH,1524_20070829040642.html
B,1528,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1528&e=,20070828225206,QOHDRLLLVTWLQRSG44ADJP5M5WA5JRV3,1528_20070828225206.html
B,1531,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1531&e=,20070828223717,XQF4QZGQ3VD5VSLW3CPQDUOAR3PBOA45,1531_20070828223717.html
B,1533,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1533&e=,20090110023957,6CVOH4WYLZQONTF5BZLFCJCHUCXYBOJR,1533_20090110023957.html
B,1534,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1534&e=,20070829042541,T6LU2LRZXUBCH4MSUJP2I3Y7DNP7OKPK,1534_20070829042541.html
B,1541,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1541&e=,20070829040353,B2QQDYV4VKKOGVAJYIEGOQRCHWKR5KDP,1541_20070829040353.html
B,1545,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1545&e=,20070829041753,ZONGMGENRA3QM4V3E4HAKMHWAZOOCDC7,1545_20070829041753.html
B,1550,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1550&e=,20170715113531,DM7RUTV7OJNRDDF54VE3L2H5DDHVLGKJ,1550_20170715113531.html
B,1551,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1551&e=,20070829041538,CX524MWWFOJLIZWHN243A3SLPMZADR2L,1551_20070829041538.html
B,1556,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1556&e=,20070828223541,ZGOKTTSXKEGTMSSSSRX5BOYXZARAWIIR,1556_20070828223541.html
B,1561,http://www.bsnpr.com/jugadores/jugador.asp?id=1561,20170910193622,7HRMWJUOLB77HYX6VJ7OG4PVY3LM25UN,1561_20170910193622.html
B,1562,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1562&e=,20140122195655,XOGHGWDRSX46ROU7JAIHP6ZAYBJQT5GH,1562_20140122195655.html
B,1567,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1567&e=,20070829042819,EVY7ALL622T7JXZ5JIH326KE273NIBYT,1567_20070829042819.html
B,1569,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1569&e=,20070828224717,57VLOOGCVKL3WMNKLUZGR34WLO3YWMYD,1569_20070828224717.html
B,1570,http://bsnpr.com:80/jugadores/jugador.asp?id=1570&e=,20090819210337,CZX3TFBTYSBKIZOXVFQC2DMALPQFG4SR,1570_20090819210337.html
B,1574,https://www.bsnpr.com/jugadores/jugador.asp?id=1574,20191212151417,OMR4WKECZOPDWATKWW3KQ67DF6F3O6BV,1574_20191212151417.html
B,1575,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1575&e=,20090110113911,S4SOLIIPRHOGCTFXYQ2QVEYQJE3PLLFT,1575_20090110113911.html
B,1579,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1579&e=,20070829042713,IF736QZPASWGTKTCPNUZLXD6VZUAGBIZ,1579_20070829042713.html
B,158,http://www.bsnpr.com:80/jugadores/jugador.asp?id=158&e=,20170715113537,EPGOHJTNM5SK5QCKZZAPUV337CGXXDBN,158_20170715113537.html
B,1601,http://bsnpr.com:80/jugadores/jugador.asp?id=1601&e=,20090829072335,EQEIDT5DKIHIXJPO3FWWKUKY7HHK4JFE,1601_20090829072335.html
B,1602,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1602&e=,20070829042425,4UI4LNS2FPNCLFR6EYV6PGWM6QJVCDCI,1602_20070829042425.html
B,1613,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1613&e=,20091209193450,HBBMRM427VAUD73LNPJZQ3OSFMY7ZOBI,1613_20091209193450.html
B,1614,http://bsnpr.com:80/jugadores/jugador.asp?id=1614&e=,20080803154014,HIX22ZSXLM6IDJ2E6XGHOBGTANDOCPSX,1614_20080803154014.html
B,1615,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1615&e=1,20090405213234,3NDJPKFX2N5DKFNJPWKRKGHEYMYGCTIA,1615_20090405213234.html
B,1620,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1620&e=,20070829040453,EEI3MYGHIWGQHVLY2ZVRNPCZQAG7RMFP,1620_20070829040453.html
B,1623,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1623&e=,20070829040755,2U7SHCY64FXDF5BDKTEEO5LD3PU4LVID,1623_20070829040755.html
B,1625,http://www.bsnpr.com/jugadores/jugador.asp?id=1625,20171030093450,BYK5UCYKR5HYZLDBBAWPLLN5O4E6RIU2,1625_20171030093450.html
B,1626,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1626&e=,20070828224213,DL25H25JX6I53ITGI36X5AWNMWEO75ZQ,1626_20070828224213.html
B,1628,http://www.bsnpr.com:80/jugadores/jugador.asp?id=1628&e=,20091006104719,BSBCLMFO5XZNNGSX52LMPIZJ3563X62J,1628_20091006104719.html
