key,original_url,timestamp,digest,roster_team,local_file
3CACX6QEXZPV3QAX5SB4GEKGI6GIAJBO,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=OLQUXXXGVB&e=PONCE,20050415172826,3CACX6QEXZPV3QAX5SB4GEKGI6GIAJBO,PONCE,3CACX6QEXZPV3QAX5SB4GEKGI6GIAJBO.html
3FHMMQAGGYIXTKV7TUHJY3W3KZZ2VEL4,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462786RX3B&e=SANTURCE,20061119235725,3FHMMQAGGYIXTKV7TUHJY3W3KZZ2VEL4,SANTURCE,3FHMMQAGGYIXTKV7TUHJY3W3KZZ2VEL4.html
3GKORPJXVXMRSDAV5DDTBQNDYMREWMXH,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462796RX3J&e=SANTURCE,20050414065115,3GKORPJXVXMRSDAV5DDTBQNDYMREWMXH,SANTURCE,3GKORPJXVXMRSDAV5DDTBQNDYMREWMXH.html
3HWS3GQNRX2IZO7DSK6JRQOI3DUIU5BX,http://www.bsnpr.com:80/jugador05.asp?r2=462796RX3L&e=PONCE,20050321233443,3HWS3GQNRX2IZO7DSK6JRQOI3DUIU5BX,PONCE,3HWS3GQNRX2IZO7DSK6JRQOI3DUIU5BX.html
3JQFEISSCBM3NNTB26DTGUWHLJTQ63RZ,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX1F&e=,20050322103906,3JQFEISSCBM3NNTB26DTGUWHLJTQ63RZ,,3JQFEISSCBM3NNTB26DTGUWHLJTQ63RZ.html
3KX6AUUNQKERQM4P2DM5QWHD5ELUACSK,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYN&e=CAGUAS,20050414064811,3KX6AUUNQKERQM4P2DM5QWHD5ELUACSK,CAGUAS,3KX6AUUNQKERQM4P2DM5QWHD5ELUACSK.html
3NN4MTUNVY7AEBD32JD5ZA2BTZN7J7XV,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX2D&e=MAYAGUEZ,20061119234257,3NN4MTUNVY7AEBD32JD5ZA2BTZN7J7XV,MAYAGUEZ,3NN4MTUNVY7AEBD32JD5ZA2BTZN7J7XV.html
3SEVAXPAKJNSYGPKMBD3ATYQIULA4OZD,http://www.bsnpr.com:80/jugador05.asp?r2=462706RWZN&e=COAMO,20050321233348,3SEVAXPAKJNSYGPKMBD3ATYQIULA4OZD,COAMO,3SEVAXPAKJNSYGPKMBD3ATYQIULA4OZD.html
3YA2GUO42QT7CHSLBXMA346P2TEX5AXH,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZD&e=,20050322103853,3YA2GUO42QT7CHSLBXMA346P2TEX5AXH,,3YA2GUO42QT7CHSLBXMA346P2TEX5AXH.html
3YLQGQEX73JOBXW7EZ6YWI73CMZJII3L,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=MDABMRDBYG&e=MAYAGUEZ,20050415172855,3YLQGQEX73JOBXW7EZ6YWI73CMZJII3L,MAYAGUEZ,3YLQGQEX73JOBXW7EZ6YWI73CMZJII3L.html
423WBBUE3FZJDDIA7I65R6BLJFOYLLE7,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZM&e=CAYEY,20050414064659,423WBBUE3FZJDDIA7I65R6BLJFOYLLE7,CAYEY,423WBBUE3FZJDDIA7I65R6BLJFOYLLE7.html
42BSGTUSXW6QAIBHJKW23A6MZLWLOOTR,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=TLRPRTYNXO&e=PONCE,20061119234230,42BSGTUSXW6QAIBHJKW23A6MZLWLOOTR,PONCE,42BSGTUSXW6QAIBHJKW23A6MZLWLOOTR.html
42RVMMFMF52AZHYLAGEJQFPZPQQEZCKN,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462786RX33&e=,20050322231519,42RVMMFMF52AZHYLAGEJQFPZPQQEZCKN,,42RVMMFMF52AZHYLAGEJQFPZPQQEZCKN.html
44L4C7RRRV6LF5WHBPLGT4UQMAPODO74,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462706RWZN&e=COAMO,20061119235052,44L4C7RRRV6LF5WHBPLGT4UQMAPODO74,COAMO,44L4C7RRRV6LF5WHBPLGT4UQMAPODO74.html
46CF7I22FCDLBKNX4IFHIDS2OCO3UE2T,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX16&e=,20050322103814,46CF7I22FCDLBKNX4IFHIDS2OCO3UE2T,,46CF7I22FCDLBKNX4IFHIDS2OCO3UE2T.html
4AMRLSDC7U5PTJB7MXZ2YBPLTDWW4YWR,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=SDSYGKXYYO&e=ISABELA,20050415172703,4AMRLSDC7U5PTJB7MXZ2YBPLTDWW4YWR,ISABELA,4AMRLSDC7U5PTJB7MXZ2YBPLTDWW4YWR.html
4BNUK2SKJ24P2WG3XH2MPIRVYIILX5WA,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=WOBFMNCQVQ&e=,20050322230628,4BNUK2SKJ24P2WG3XH2MPIRVYIILX5WA,,4BNUK2SKJ24P2WG3XH2MPIRVYIILX5WA.html
4FFH3W2BUYMJBPYORGLMS3XVGBKZ65TR,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX1L&e=PONCE,20050414064540,4FFH3W2BUYMJBPYORGLMS3XVGBKZ65TR,PONCE,4FFH3W2BUYMJBPYORGLMS3XVGBKZ65TR.html
4IHYFRHEV7YPSPBUEWGSOIZRDQ2SM4G5,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462676RWYH&e=CAGUAS,20050902103923,4IHYFRHEV7YPSPBUEWGSOIZRDQ2SM4G5,CAGUAS,4IHYFRHEV7YPSPBUEWGSOIZRDQ2SM4G5.html
4J2BXNDAXWQKQNCCCHDBALAKTJR4ZHB5,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462766RX27&e=SAN+GERMAN,20050414065151,4J2BXNDAXWQKQNCCCHDBALAKTJR4ZHB5,SAN GERMAN,4J2BXNDAXWQKQNCCCHDBALAKTJR4ZHB5.html
