franchise_id,season,season_source,template,section,jersey_number,name_raw,name_order,height_cm,position_raw,birth_year_2digit,age,approx_birth_year,nationality_raw,years_from,years_to,former_team_raw,eurobasket_player_id,latinbasket_player_id,profile_url,completeness,source_id,source_url,retrieved_at,confidence
atleticos_san_german,2010,year_param,flat_bo,roster,16,Andino Guillermo,surname_first,186,G,88,,,PUR,,,,104877,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=104877,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,23,Andino Jose,surname_first,198,G/F,89,,,PUR,,,,149203,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=149203,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,04,Ramirez Luis Steven,surname_first,180,G,86,,,PUR,,,,173052,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=173052,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2010,year_param,flat_bo,roster,08,Mercado Ismael,surname_first,,,,,,PUR,,,,194775,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=194775,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2010,20160331180338,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,12,Copeland Donald,surname_first,177,PG,84,,,,,,,31635,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=31635,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,,Rice Darius,surname_first,208,F,82,,,,,,,38755,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=38755,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,14,Pellot-Rosa Jesse,surname_first,193,G,84,,,,,,,50790,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=50790,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,15,Dyer Alphonse,surname_first,213,F/C,85,,,,,,,54205,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=54205,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,7,Strong Carlos,surname_first,191,G,87,,,,,,,115097,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=115097,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,13,Ruiz Gabriel,surname_first,198,F/C,83,,,,,,,118930,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=118930,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,20,Melendez Ricardo,surname_first,180,G,83,,,,,,,55073,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=55073,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,16,Zayas Hector,surname_first,196,F,81,,,,,,,23562,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=23562,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,8,Orta Raul,surname_first,196,G,85,,,,,,,47349,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=47349,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,52,Lloreda Jaime,surname_first,201,F/C,80,,,,,,,22312,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=22312,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2011,year_param,flat_bo,roster,9,Abraham Ryann,surname_first,178,PG,87,,,,,,,71460,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=71460,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2011,20160401120859,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,,Pinkney Kevinn,surname_first,207,F,83,,,,,,,43945,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=43945,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,1,Pellot-Rosa Jesse,surname_first,193,G,84,,,,,,,50790,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=50790,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
atleticos_san_german,2012,year_param,flat_bo,roster,6,Rivera Filiberto,surname_first,190,PG,82,,,,,,,23572,,http://www.eurobasket.com/player.asp?Cntry=PUR&PlayerID=23572,full,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Atleticos-de-San-German/1957?Year=2012,20160331154649,single-source
