key,original_url,timestamp,digest,roster_team,local_file
3ZMU5VK35ICZZYJOOXJSG5LJFSQH74IF,http://www.bsnpr.com:80/jug05.asp?r3=BXFKF&r2=RRUPKIVAUK&r=00123&e=,20061207025744,3ZMU5VK35ICZZYJOOXJSG5LJFSQH74IF,,3ZMU5VK35ICZZYJOOXJSG5LJFSQH74IF.html
3ZRFCMEW36N6R5LFROMEFREBM6QCZZ6R,http://www.bsnpr.com:80/jug05.asp?r2=462686RWYM&r3=00050&e=BAYAMON,20050501060308,3ZRFCMEW36N6R5LFROMEFREBM6QCZZ6R,BAYAMON,3ZRFCMEW36N6R5LFROMEFREBM6QCZZ6R.html
47BQIH65ECGSXCSVM564DZT4BCAO43KE,http://www.bsnpr.com/jug05.asp?r2=462726RX0H&r3=00133&r=00501&e=MOROVIS,20061119231113,47BQIH65ECGSXCSVM564DZT4BCAO43KE,MOROVIS,47BQIH65ECGSXCSVM564DZT4BCAO43KE.html
4B4CXDVI673OWAWVK4QVEGHISB5DFS2B,http://www.bsnpr.com:80/jug05.asp?r3=00241&r2=462786RX33&r=00118&e=,20060827011831,4B4CXDVI673OWAWVK4QVEGHISB5DFS2B,,4B4CXDVI673OWAWVK4QVEGHISB5DFS2B.html
4BNOZHSP3STE5B64MPJM42NEUTEA73ZG,http://www.bsnpr.com:80/jug05.asp?r2=462706RWZQ&r3=00101&e=ARECIBO,20050924072702,4BNOZHSP3STE5B64MPJM42NEUTEA73ZG,ARECIBO,4BNOZHSP3STE5B64MPJM42NEUTEA73ZG.html
4D433XU2W4XQVHMPYI6WZCRRG5LBL4OS,http://www.bsnpr.com:80/jug05.asp?r3=00039&r2=462676RWYF&r=00110&e=,20061006122431,4D433XU2W4XQVHMPYI6WZCRRG5LBL4OS,,4D433XU2W4XQVHMPYI6WZCRRG5LBL4OS.html
4GR2KEZIZ6TTL4NE32SUWQXBZ7MPGIWZ,http://www.bsnpr.com/jug05.asp?r2=462696RWZ6&r3=00075&r=00559&e=MOROVIS,20061119231056,4GR2KEZIZ6TTL4NE32SUWQXBZ7MPGIWZ,MOROVIS,4GR2KEZIZ6TTL4NE32SUWQXBZ7MPGIWZ.html
4GUJG2XPK6XBTKEC7OERAUCNXWQVTRYY,http://www.bsnpr.com:80/jug05.asp?r=00144,20070224080916,4GUJG2XPK6XBTKEC7OERAUCNXWQVTRYY,,4GUJG2XPK6XBTKEC7OERAUCNXWQVTRYY.html
4HMKR3VCS5XSKIZKFUIYZPUCBIFO7NZX,http://www.bsnpr.com:80/jug05.asp?r3=AUFGZ&r2=QTXDFUTFRQ&r=00154&e=,20061210150635,4HMKR3VCS5XSKIZKFUIYZPUCBIFO7NZX,,4HMKR3VCS5XSKIZKFUIYZPUCBIFO7NZX.html
4JNKUBBV6HHQIM35XOLQ2Y5YTXYB3BAG,http://www.bsnpr.com:80/jug05.asp?r3=QIGCQ&r2=WKYIXVIKDD&r=00554&e=,20061206115716,4JNKUBBV6HHQIM35XOLQ2Y5YTXYB3BAG,,4JNKUBBV6HHQIM35XOLQ2Y5YTXYB3BAG.html
4JSZHMIYIJXVMCBW6IQ62XGFTT552QYN,http://www.bsnpr.com:80/jug05.asp?r3=EXFEJ&r2=IEHKJPQPCI&r=00536&e=,20061010080239,4JSZHMIYIJXVMCBW6IQ62XGFTT552QYN,,4JSZHMIYIJXVMCBW6IQ62XGFTT552QYN.html
4KVW4JVSXWM2MGNK34AJM6YJPK4SSY24,http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,20060224014959,4KVW4JVSXWM2MGNK34AJM6YJPK4SSY24,SANTURCE,4KVW4JVSXWM2MGNK34AJM6YJPK4SSY24.html
4LRJZO252Y4FLS4R7CMXJOSSL72G2N2A,http://www.bsnpr.com:80/jug05.asp?r3=00192&r2=462756RX1U&r=00092&e=,20061006123058,4LRJZO252Y4FLS4R7CMXJOSSL72G2N2A,,4LRJZO252Y4FLS4R7CMXJOSSL72G2N2A.html
4NUFVSHZAKXM6CHHH3JIDIITTXWFK5FS,http://www.bsnpr.com:80/jug05.asp?r3=00247&r2=462786RX39&r=00560&e=,20070404080316,4NUFVSHZAKXM6CHHH3JIDIITTXWFK5FS,,4NUFVSHZAKXM6CHHH3JIDIITTXWFK5FS.html
