obs_source,player_raw,club_raw,season,candidate_ids,candidate_names,club_franchise_id,club_match_ids,reason
player_season_stats_2001_2004.csv,"Farmer, A.",Maratonistas de Coamo,2003,171|172,"Farmer, Anthony | Farmer, Anthony",maratonistas_coamo,,"multiple name candidates, none corroborated by season"
player_season_leaders_2000_2002.csv,"Farmer, Tony",CAGUA,2001,171|172,"Farmer, Anthony | Farmer, Anthony",criollos_caguas,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Garcia, E.",Indios de Mayaguez,2001,2487|587|639,"Garcia Santos, Edgardo | Garcia Rodriguez, Elmyr | Garcia, Esteban",indios_mayaguez,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Garcia, E.",Indios de Mayaguez,2002,2487|587|639,"Garcia Santos, Edgardo | Garcia Rodriguez, Elmyr | Garcia, Esteban",indios_mayaguez,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Garcia, E.",Cangrejeros de Santurce,2003,2487|587|639,"Garcia Santos, Edgardo | Garcia Rodriguez, Elmyr | Garcia, Esteban",cangrejeros_santurce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Gonzalez, J.",Piratas de Quebradillas,2001,1002|1006|1034|1103|1122|1124|1144|1145|1189|1202|2513|990026,"Gonzalez Sanchez, Jason j. | Gonzalez Otero, Javier | Gonzalez, Jesus | Gonzalez Olivencia, Jorge | Gonzalez Aleman, Jorge javier | Gonzalez, Jorge l. | Gonzalez, Jose | Gonzalez Carrasco, Jose | Gonzalez Rodriguez, Jose a. | Gonzalez, Jose a. | González López, Javier | Gonzalez, José",piratas_quebradillas,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Hernandez, Luis",Piratas,2019,1523|2637,"Hernandez Quidley, Luis e. | Hernandez Matias, Luis",piratas_quebradillas,2637,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Jackson, G.",Gigantes de Carolina,2002,822|823,"Jackson Quiñonez, Gregg | Jackson Quiñonez, Gregg",gigantes_carolina,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Johnson, DeMarco",Vaqueros,2010,2430|2431,"Johnson, DeMarco | Johnson, Demarco",vaqueros_bayamon,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Leon, Francisco",Leones,1986,738|742,"Leon Cruz, Francisco | Leon Padilla, Francisco Jr.",leones_ponce,742,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Lopez, M.",Polluelos de Aibonito,2001,12939|1569,"Lopez, Matt | Lopez Flecha, Marcos a.",polluelos_aibonito,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Lopez, M.",Toritos de Cayey,2002,12939|1569,"Lopez, Matt | Lopez Flecha, Marcos a.",toritos_cayey,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Lopez, M.",Titanes de Morovis,2003,12939|1569,"Lopez, Matt | Lopez Flecha, Marcos a.",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Marrero, M.",Cangrejeros de Santurce,2003,1579|1679,"Marrero, Mario | Marrero, Moises",cangrejeros_santurce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Marrero, R.",Titanes de Morovis,2001,1874|1921,"Marrero Colon, Rafael | Marrero, Ramon",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Marrero, R.",Titanes de Morovis,2002,1874|1921,"Marrero Colon, Rafael | Marrero, Ramon",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Martinez, C.",Titanes de Morovis,2001,2588|294|295|326|330,"Martinez, Carlos | Martinez Vega, Carlos | Martinez Vega, Carlos | Martinez, Carlos a. | Martinez Torres, Carlos b.",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Martinez, C.",Leones de Ponce,2002,2588|294|295|326|330,"Martinez, Carlos | Martinez Vega, Carlos | Martinez Vega, Carlos | Martinez, Carlos a. | Martinez Torres, Carlos b.",leones_ponce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Martinez, R.",Leones de Ponce,2001,1875|1876|1965,"Martinez, Rafael | Martinez Ruiz, Rafael | Martínez Rivera, Raymond",leones_ponce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Martinez, R.",Titanes de Morovis,2002,1875|1876|1965,"Martinez, Rafael | Martinez Ruiz, Rafael | Martínez Rivera, Raymond",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Matias, A.",Titanes de Morovis,2002,105|13066|131,"Matias, Angel | Matias De Leon, Angel L. | Matias Marrero, Angel luis",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Melendez, F.",Indios de Mayaguez,2001,694|706|707,"Melendez, Fernando | Melendez Montañez, Flor | Melendez, Flor jr.",indios_mayaguez,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Melendez, Ricardo",Cariduros,2019,1994|1995,"Melendez Gautier, Ricardo | Melendez Huertas, Ricardo",cariduros_fajardo,1995,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Miller, K.",Vaqueros de Bayamon,2001,1401|1402,"Miller, Kenneth | Miller, Kenneth",vaqueros_bayamon,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Montalvo, J.",Leones de Ponce,2001,1036|1057|1269,"Montalvo, Jesus | Montalvo, Joe | Montalvo Gaudino, Jose r.",leones_ponce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Morales, A.",Piratas de Quebradillas,2001,12958|182|29|63,"Morales, Angel | Morales, Antonio | Morales Irizarry, Alberto | Morales Rivera, Alfredo",piratas_quebradillas,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Morales, F.",Leones de Ponce,2001,2726|685,"Morales Soto, Ferdinand | Morales Martinez, Ferdinand",leones_ponce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Morales, F.",Indios de Mayaguez,2002,2726|685,"Morales Soto, Ferdinand | Morales Martinez, Ferdinand",indios_mayaguez,,"multiple name candidates, none corroborated by season"
player_season_leaders_2000_2002.csv,"Morales, Ferdinand",PONCE,2001,2726|685,"Morales Soto, Ferdinand | Morales Martinez, Ferdinand",leones_ponce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Neumann, H.",Gigantes de Carolina,2001,891|892,"Neumann Zayas, Henry | Neumann Cruzval, Henry",gigantes_carolina,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Ortiz, Chris",Brujos,2021,13057|377,"Ortiz, Chris | Ortiz, Chris",brujos_guayama,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Ortiz, Jose",Gigantes,2021,1153|1247|1271|13257|2722,"Ortiz Lleras, Jose | Ortiz Aponte, Jose luis | Ortiz Rijos, Jose Rafael | Ortiz Alicea, Jose | Ortiz, Jose",gigantes_carolina,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Pellot, Edwin",Gallitos,1986,2388|553,"Pellot Rosa, Edwin | Pellot Rosa, Edwin",,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rivera, D.",Brujos de Guayama,2001,420|421|456|458|484,"Rivera Cintron, Daniel | Rivera Desiderio, Daniel | Rivera Ramos, David | Rivera Rodriguez, David n. | Rivera Brown, Domingo",brujos_guayama,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Rivera, Félix",Grises,2021,13223|673|674|675|676|682,"Rivera Vega, Félix | Rivera Benitez, Felix | Rivera Martinez, Felix | Rivera Melendez, Felix | Rivera Rodriguez, Felix | Rivera Mirabal, Felix Rene",,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rivera, H.",Criollos de Caguas,2001,848|895,"Rivera Ortiz, Hecmar | Rivera Santiago, Heriberto",criollos_caguas,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rivera, H.",Gallitos de Isabela,2001,848|895,"Rivera Ortiz, Hecmar | Rivera Santiago, Heriberto",gallitos_isabela,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rivera, L.",Maratonistas de Coamo,2001,13172|13288|13334|1494|1495|1542,"Rivera Beltrán, Luis | Rivera, Lonnie | Rivera Rosario, Luis A | Rivera, Luis | Rivera Sonfront, Luis | Rivera Gonzalez, Luis ramon",maratonistas_coamo,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Robinson, Thomas",Cangrejeros,2021,13297|13304,"Robinson, Thomas | Robinson, Thomas",cangrejeros_santurce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rodriguez, I.",Capitanes de Arecibo,2001,917|943|957,"Rodriguez Archilla, Ignacio valentino | Rodriguez Hernandez, Israel | Rodriguez Traverso, Ivan",capitanes_arecibo,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rodriguez, M.",Titanes de Morovis,2001,13134|1559|1585|1653,"Rodriguez, Michael | Rodriguez Molina, Manuel | Rodriguez Flores, Mario e. | Rodriguez Deliz, Miguel",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rosario, R.",Polluelos de Aibonito,2001,2008|2009|2114,"Rosario, Rich | Rosario, Rich | Rosario Amador, Ruben",polluelos_aibonito,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Rosario, R.",Cangrejeros de Santurce,2001,2008|2009|2114,"Rosario, Rich | Rosario, Rich | Rosario Amador, Ruben",cangrejeros_santurce,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Sanchez, M.",Titanes de Morovis,2001,1581|1582|1631|1656,"Sanchez Pares, Mario | Sanchez Rivera, Mario | Sanchez Trotter, Michael albert | Sanchez, Miguel",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santiago, J.",Titanes de Morovis,2002,1260|12918|1338,"Santiago Alvarado, Jose Oscar | Santiago, Jeffrey | Santiago Gonzalez, Juan carlos",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santiago, M.",Titanes de Morovis,2001,1592|1683,"Santiago, Mark w. | Santiago Figueroa, Moises",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santiago, M.",Titanes de Morovis,2002,1592|1683,"Santiago, Mark w. | Santiago Figueroa, Moises",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santos, J.",Titanes de Morovis,2001,1169|1170|1198|1322,"Santos Lanzot, Jose | Santos Lanzot, Jose | Santos Garcia, Jose a. | Santos, Juan",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santos, J.",Titanes de Morovis,2002,1169|1170|1198|1322,"Santos Lanzot, Jose | Santos Lanzot, Jose | Santos Garcia, Jose a. | Santos, Juan",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santos, X.",Gallitos de Isabela,2001,2328|2329,"Santos, Xionel | Santos Rodriguez, Xioner",gallitos_isabela,2329,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Santos, X.",Gallitos de Isabela,2002,2328|2329,"Santos, Xionel | Santos Rodriguez, Xioner",gallitos_isabela,2329,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Smith, Greg",Vaqueros,2019,12925|13199,"Smith, Greg | Smith, Greg",vaqueros_bayamon,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Sosa, Isaac",Atleticos,2019,2818|2819,"Sosa Carrion, Isaac | Sosa Carrion, Isaac",atleticos_san_german,2818,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Sosa, Isaac",Cangrejeros,2021,2818|2819,"Sosa Carrion, Isaac | Sosa Carrion, Isaac",cangrejeros_santurce,2818,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Soto, H.",Titanes de Morovis,2001,868|911,"Soto, Hector | Soto Ayala, Hugo",titanes_morovis,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Strickland, M.",Gigantes de Carolina,2002,1587|1588,"Strickland, Mark | Strickland, Mark",gigantes_carolina,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Torres, D.",Polluelos de Aibonito,2001,2363|459|480|490,"Torres Negron, Dario | Torres, Dax | Torres, Diego | Torres, Douglas",polluelos_aibonito,,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Torres, G.",Gigantes de Carolina,2001,788|789|790,"Torres Dougherty, George | Torres Perez, George | Torres Rivera, George",gigantes_carolina,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Torres, George",Cariduros,1986,788|789|790,"Torres Dougherty, George | Torres Perez, George | Torres Rivera, George",cariduros_fajardo,,"multiple name candidates, none corroborated by season"
player_season_leaders.csv,"Vidot, Grimaldi",Capitanes,1986,826|827|990027,"Vidot Colon, Grimaldi | Vidot Hernandez, Grimaldi | Vidot, Grimaldi",capitanes_arecibo,826|990027,"multiple name candidates, none corroborated by season"
player_season_stats_2001_2004.csv,"Alomar, H.",Toritos de Cayey,2002,910|990002,"Alomar Melero, Huascar | Alomar, Huascar",toritos_cayey,910|990002,multiple players match name + season span
player_season_stats_2001_2004.csv,"Berdiel, M.",Maratonistas de Coamo,2001,1666|990001,"Berdiel Aponte, Miguel Ali | Berdiel, Miguel Alí",maratonistas_coamo,1666|990001,multiple players match name + season span
player_season_stats_2001_2004.csv,"Berdiel, M.",Maratonistas de Coamo,2002,1666|990001,"Berdiel Aponte, Miguel Ali | Berdiel, Miguel Alí",maratonistas_coamo,1666|990001,multiple players match name + season span
player_season_stats_2001_2004.csv,"Casablanca, F.",Maratonistas de Coamo,2001,688|990009,"Casablanca Torres, Fernando | Casablanca, Fernando",maratonistas_coamo,688|990009,multiple players match name + season span
player_season_stats_2001_2004.csv,"Casablanca, F.",Maratonistas de Coamo,2002,688|990009,"Casablanca Torres, Fernando | Casablanca, Fernando",maratonistas_coamo,688|990009,multiple players match name + season span
player_season_stats_2001_2004.csv,"Casablanca, F.",Maratonistas de Coamo,2003,688|990009,"Casablanca Torres, Fernando | Casablanca, Fernando",maratonistas_coamo,688|990009,multiple players match name + season span
player_season_stats_2001_2004.csv,"Cruz, A.",Vaqueros de Bayamon,2001,73|74,"Cruz, Alvin | Cruz Torres, Alvin",vaqueros_bayamon,73|74,multiple players match name + season span
player_season_stats_2001_2004.csv,"Dalmau, R.",Piratas de Quebradillas,2001,1970|1992,"Dalmau Santana, Raymond | Dalmau Santana, Ricardo",piratas_quebradillas,1970|1992,multiple players match name + season span
player_season_stats_2001_2004.csv,"Hiraldo, C.",Toritos de Cayey,2002,388|990019,"Hiraldo Garcia, Christopher | Hiraldo, Cristopher",toritos_cayey,388|990019,multiple players match name + season span
player_season_stats_2001_2004.csv,"Martinez, F.",Indios de Mayaguez,2001,763|990024,"Martinez Arroyo, Freddie | Martinez, Freddie",indios_mayaguez,763|990024,multiple players match name + season span
player_season_stats_2001_2004.csv,"Martinez, F.",Leones de Ponce,2003,763|990024,"Martinez Arroyo, Freddie | Martinez, Freddie",leones_ponce,763|990024,multiple players match name + season span
player_season_stats_2001_2004.csv,"Ortiz, F.",Indios de Mayaguez,2001,696|697,"Ortiz, Fernando | Ortiz Espada, Fernando",indios_mayaguez,696|697,multiple players match name + season span
player_season_stats_2001_2004.csv,"Ortiz, F.",Indios de Mayaguez,2002,696|697,"Ortiz, Fernando | Ortiz Espada, Fernando",indios_mayaguez,696|697,multiple players match name + season span
player_season_stats_2001_2004.csv,"Ortiz, R.",Vaqueros de Bayamon,2001,1924|1984,"Ortiz, Ramon | Ortiz Cepero, Reyes",vaqueros_bayamon,,multiple players match name + season span
player_season_stats_2001_2004.csv,"Rivera, F.",Titanes de Morovis,2001,704|755,"Rivera Isaac, Filiberto | Rivera Palmer, Frankie",titanes_morovis,,multiple players match name + season span
player_season_leaders.csv,"Rivera, Felix",,1986,673|676,"Rivera Benitez, Felix | Rivera Rodriguez, Felix",,,multiple players match name + season span
player_season_stats_2001_2004.csv,"Rivera, J.",Titanes de Morovis,2003,1127|1249|1373,"Rivera Motta, Jorge Luis | Rivera Morales, Jose Luis | Rivera Maldonado, Julio",titanes_morovis,,multiple players match name + season span
player_season_stats_2001_2004.csv,"Santiago, E.",Vaqueros de Bayamon,2001,502|555|990020,"Santiago Cordero, Eddin | Santiago Rivera, Edwin | Santiago, Eddin",vaqueros_bayamon,502|555|990020,multiple players match name + season span
player_season_leaders_2000_2002.csv,"Santiago, Eddin",BAYAM,2001,502|990020,"Santiago Cordero, Eddin | Santiago, Eddin",vaqueros_bayamon,502|990020,multiple players match name + season span
player_season_leaders_2000_2002.csv,"Santiago, Eddin",BAYAM,2002,502|990020,"Santiago Cordero, Eddin | Santiago, Eddin",vaqueros_bayamon,502|990020,multiple players match name + season span
player_season_stats_2001_2004.csv,"Sweet, A.",Maratonistas de Coamo,2002,81|990003,"Sweet Valencia, Andre | Sweet, Andre",maratonistas_coamo,81|990003,multiple players match name + season span
player_season_stats_2001_2004.csv,"Villafane, L.",Cangrejeros de Santurce,2001,1502|990036,"Villafane Silva, Luis | Villafañe, Luis",cangrejeros_santurce,1502|990036,multiple players match name + season span
player_season_stats_2001_2004.csv,"Western, F.",Vaqueros de Bayamon,2001,757|990023,"Western Canales, Franklin | Western, Franklyn",vaqueros_bayamon,757|990023,multiple players match name + season span
player_season_stats_2001_2004.csv,"Zayas, H.",Indios de Mayaguez,2001,870|990028,"Zayas Irizarry, Hector | Zayas, Hector",indios_mayaguez,870|990028,multiple players match name + season span
player_season_leaders_2000_2002.csv,Alicea,MOROV,2000,,,titanes_morovis,,no canonical name match
player_season_leaders_2000_2002.csv,Allison,AIBON,2000,,,polluelos_aibonito,,no canonical name match
player_season_leaders.csv,"Aponte, Enrique ""q",,1986,,,,,no canonical name match
player_season_leaders_2000_2002.csv,Arroyo,SANTU,2000,,,cangrejeros_santurce,,no canonical name match
player_season_leaders_2000_2002.csv,"Aubry, Jeff",SANTU,2001,,,cangrejeros_santurce,,no canonical name match
player_season_leaders_2000_2002.csv,"Aubry, Jeffrey",SANTU,2002,,,cangrejeros_santurce,,no canonical name match
player_season_leaders.csv,"Avila, Victor Man",Atleticos,2008,,,atleticos_san_german,,no canonical name match
player_season_stats_2001_2004.csv,"Aviles, G.",Brujos de Guayama,2001,,,brujos_guayama,,no canonical name match
player_season_leaders_2000_2002.csv,Ayuso,SAN G,2000,,,atleticos_san_german,,no canonical name match
player_season_leaders.csv,"Ayuso, Elias 'Lar",Capitanes,2012,,,capitanes_arecibo,,no canonical name match
player_season_leaders.csv,"Ayuso, Elias 'Lar",Mets,2013,,,mets_guaynabo,,no canonical name match
player_season_leaders.csv,"Ayuso, Elias 'Lar",Vaqueros,2014,,,vaqueros_bayamon,,no canonical name match
player_season_leaders.csv,"Ayuso, Elias 'Lar",Atleticos,2019,,,atleticos_san_german,,no canonical name match
player_season_leaders_2000_2002.csv,Benjamin,CAGUA,2000,,,criollos_caguas,,no canonical name match
player_season_leaders_2000_2002.csv,Benson,GUAYA,2000,,,brujos_guayama,,no canonical name match
player_season_stats_2001_2004.csv,"Berdiel, A.",Maratonistas de Coamo,2001,,,maratonistas_coamo,,no canonical name match
player_season_leaders.csv,"Berdiel, Miguel 'Al",Mets,2020,,,mets_guaynabo,,no canonical name match
player_season_stats_2001_2004.csv,"Bocachica, A.",Cangrejeros de Santurce,2001,,,cangrejeros_santurce,,no canonical name match
player_season_leaders_2000_2002.csv,Borges,COAMO,2000,,,maratonistas_coamo,,no canonical name match
player_season_leaders.csv,"Brignoni, Luis Jr.",Brujos,2008,,,brujos_guayama,,no canonical name match
player_season_leaders_2000_2002.csv,Brown,ARECI,2000,,,capitanes_arecibo,,no canonical name match
player_season_stats_2001_2004.csv,"Butler Jr., M.",Titanes de Morovis,2003,,,titanes_morovis,,no canonical name match
player_season_leaders.csv,"Butler, Mario Albe",Titanes,1986,,,titanes_morovis,,no canonical name match
player_season_stats_2001_2004.csv,"Carrasquillo, T.",Criollos de Caguas,2001,,,criollos_caguas,,no canonical name match
player_season_stats_2001_2004.csv,"Carrasquillo, T.",Criollos de Caguas,2002,,,criollos_caguas,,no canonical name match
player_season_leaders_2000_2002.csv,Carter,GUAYA,2000,,,brujos_guayama,,no canonical name match
player_season_leaders_2000_2002.csv,Casian0,SAN G,2000,,,atleticos_san_german,,no canonical name match
player_season_leaders_2000_2002.csv,Clark,MAYAG,2000,,,indios_mayaguez,,no canonical name match
player_season_leaders_2000_2002.csv,Colon,PONCE,2000,,,leones_ponce,,no canonical name match
player_season_leaders.csv,"Correa, Wesley ""we",Titanes,1986,,,titanes_morovis,,no canonical name match
player_season_leaders.csv,"Cruz, Angel 'Ang",,1986,,,,,no canonical name match
player_season_leaders.csv,"Cruz, Ismael Yom",Leones,2021,,,leones_ponce,,no canonical name match
player_season_leaders_2000_2002.csv,Curbelo,QUEBR,2000,,,piratas_quebradillas,,no canonical name match
player_season_leaders_2000_2002.csv,Dalmau,QUEBR,2000,,,piratas_quebradillas,,no canonical name match
player_season_leaders_2000_2002.csv,Dalmau,COAMO,2000,,,maratonistas_coamo,,no canonical name match
player_season_leaders_2000_2002.csv,Davila,BAYAM,2000,,,vaqueros_bayamon,,no canonical name match
player_season_leaders.csv,"Davila, Luis ""tin""",,1986,,,,,no canonical name match
player_season_leaders_2000_2002.csv,Davis,MOROV,2000,,,titanes_morovis,,no canonical name match
player_season_leaders_2000_2002.csv,De Jesus,MAYAG,2000,,,indios_mayaguez,,no canonical name match
player_season_stats_2001_2004.csv,"De Jesus, A.",Brujos de Guayama,2001,,,brujos_guayama,,no canonical name match
player_season_stats_2001_2004.csv,"De Jesus, A.",Indios de Mayaguez,2001,,,indios_mayaguez,,no canonical name match
player_season_stats_2001_2004.csv,"De Jesus, A.",Titanes de Morovis,2002,,,titanes_morovis,,no canonical name match
player_season_stats_2001_2004.csv,"De Jesus, A.",Titanes de Morovis,2003,,,titanes_morovis,,no canonical name match
player_season_leaders.csv,"De Jesus, Manuel",Atleticos,2008,,,atleticos_san_german,,no canonical name match
player_season_leaders.csv,"De Jesus, Manuel",Atleticos,2012,,,atleticos_san_german,,no canonical name match
player_season_stats_2001_2004.csv,"Deem, A.",Maratonistas de Coamo,2001,,,maratonistas_coamo,,no canonical name match
player_season_stats_2001_2004.csv,"Deen, A.",Maratonistas de Coamo,2002,,,maratonistas_coamo,,no canonical name match
player_season_leaders.csv,"Diaz, Jorge Brya",Piratas,2014,,,piratas_quebradillas,,no canonical name match
player_season_leaders.csv,"Diaz, Jorge Brya",,2018,,,,,no canonical name match
player_season_leaders.csv,"Diaz, Jorge Brya",Piratas,2019,,,piratas_quebradillas,,no canonical name match
player_season_leaders.csv,"Diaz, Jose a. ""t",Gigantes,1986,,,gigantes_carolina,,no canonical name match
player_season_leaders_2000_2002.csv,Donaldson,MAYAG,2000,,,indios_mayaguez,,no canonical name match
player_season_leaders.csv,"Díaz, Jorge Bria",Piratas,2021,,,piratas_quebradillas,,no canonical name match
player_season_stats_2001_2004.csv,"Echevaria, A.",Leones de Ponce,2002,,,leones_ponce,,no canonical name match
player_season_stats_2001_2004.csv,"Echevarria, T.",Brujos de Guayama,2001,,,brujos_guayama,,no canonical name match
player_season_stats_2001_2004.csv,"Echevarria, T.",Maratonistas de Coamo,2002,,,maratonistas_coamo,,no canonical name match
player_season_leaders_2000_2002.csv,"Falcon, Alex",SANTU,2001,,,cangrejeros_santurce,,no canonical name match
player_season_leaders_2000_2002.csv,Farmer,PONCE,2000,,,leones_ponce,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis","Capitanes, Arecibo",2007,,,capitanes_arecibo,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis",Capitanes,2008,,,capitanes_arecibo,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis",Capitanes,2009,,,capitanes_arecibo,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis",Mets,2010,,,mets_guaynabo,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis",Piratas,2012,,,piratas_quebradillas,,no canonical name match
player_season_leaders.csv,"Figueroa, Angel Luis",Brujos,2013,,,brujos_guayama,,no canonical name match
player_season_leaders.csv,"Fortuna, Manuel",Leones,2013,,,leones_ponce,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1977,,,cariduros_fajardo,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1978,,,cariduros_fajardo,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1979,,,cariduros_fajardo,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1984,,,cariduros_fajardo,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1985,,,cariduros_fajardo,,no canonical name match
historic_scoring_champions.csv,GEORGIE TORRES,FAJARDO,1986,,,cariduros_fajardo,,no canonical name match
