season,franchise_id,city_raw,stage,position,wins,losses,note,confidence,source_id,source_url,retrieved_at,capture_date
2017,leones_ponce,Ponce,,4,19,17,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,capitanes_arecibo,Arecibo,,5,19,17,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,atleticos_san_german,San German,,6,17,19,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,vaqueros_bayamon,Bayamon,,7,16,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,indios_mayaguez,Mayaguez,,8,16,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,brujos_guayama,Guayama,,9,14,22,,single-source,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2017,caciques_humacao,Isabela,,10,11,25,"2017 Isabela reads as caciques_humacao mid-relocation (per franchise_events.csv's 'later relocated away from Humacao (Isabela, then Guayama, ~2019)' note), not the separate gallitos_isabela franchise -- inferred from an existing verified note, not independently sourced this pass. Matches the pre-existing 'Caciques-Gallitos, Humacao-Isabela' hybrid label already in player_career_seasons.csv for this season.",disputed,wayback_latinbasket,https://web.archive.org/web/20170923123400id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2026-09-13T14:26:53Z,2017-09-23
2018,vaqueros_bayamon,Bayamon,stage1,1,24,12,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,capitanes_arecibo,Arecibo,stage1,2,22,14,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,piratas_quebradillas,Quebradillas,stage1,3,21,15,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,leones_ponce,Ponce,stage1,4,18,18,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,cariduros_fajardo,Fajardo,stage1,5,16,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,santeros_aguada,Aguada,stage1,6,16,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,atleticos_san_german,San German,stage1,7,14,21,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,caciques_humacao,Humacao,stage1,8,12,23,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,vaqueros_bayamon,Bayamon,stage2_a,1,4,3,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,leones_ponce,Ponce,stage2_a,2,4,3,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,santeros_aguada,Aguada,stage2_a,3,1,6,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,capitanes_arecibo,Arecibo,stage2_b,1,4,3,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,piratas_quebradillas,Quebradillas,stage2_b,2,4,3,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
2018,cariduros_fajardo,Fajardo,stage2_b,3,4,3,,single-source,wayback_latinbasket,https://web.archive.org/web/20190112113415id_/https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2026-09-13T14:26:55Z,2019-01-12
