obs_source,player_raw,club_raw,season,bsnpr_id,canonical_name,match_method,club_check,confidence
player_season_leaders.csv,"Cruz, Rafael",Capitanes,2008,1895,"Cruz Lopez, Rafael",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Cruz, Rafael",Capitanes,2010,1895,"Cruz Lopez, Rafael",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Christian",Vaqueros,2009,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Christian",Vaqueros,2010,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Christian",Vaqueros,2012,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Christian",Mets,2013,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Christian",Cangrejeros,2014,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dalmau, Ricardo",Cangrejeros,2009,1992,"Dalmau Santana, Ricardo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Davis, Josh",,2009,2592,"Davis, Estadísticas Jugador",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Dawson, Eric",Vaqueros,2018,13033,"Dawson, Eric",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"De Jesus, Jezreel",Maratonistas,2014,2823,"De Jesús, Jezreel",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Diaz, Guillermo",Capitanes,2014,2666,"Diaz, Guillermo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Diaz, Guillermo",Capitanes,2018,2666,"Diaz, Guillermo",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Duran, Cliff",Indios,2013,2367,"Duran Colon, Cliff",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Duran, Cliff",Indios,2014,2367,"Duran Colon, Cliff",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Dyer, Alphonse","Atleticos, San German",2007,2360,"Dyer, Alphonse",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dyer, Alphonse",Atleticos,2008,2360,"Dyer, Alphonse",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dyer, Alphonse",Atleticos,2009,2360,"Dyer, Alphonse",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Dyer, Alphonse",Atleticos,2010,2360,"Dyer, Alphonse",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Efejuku-Rose, Weyinmi",Indios,2013,2752,"Efejuku-Rose, Weyinmi",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Emory, Carlos",Santeros,2019,2838,"Emory, Carlos",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Erazo, Armando",Indios,2008,2380,"Erazo Cruz, Armando",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Escalera, Carlos",Conquistadores,2008,284,"Escalera Gonzalez, Carlos",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Escalera, Carlos",Conquistadores,2009,284,"Escalera Gonzalez, Carlos",name+season_in_career,contradicts,single-source
player_season_leaders.csv,"Escalera, Carlos",Mets,2010,284,"Escalera Gonzalez, Carlos",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Falcon, Alexander","Cangrejeros, Santurce",2007,50,"Falcon Melendez, Alexander",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Gainous, Marquis",,2013,2638,"Gainous, Marquis",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Galindo, Alex",Brujos,2012,42,"Galindo Rodríguez, Alex",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Galindo, Alex",Cangrejeros,2013,42,"Galindo Rodríguez, Alex",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Galindo, Alex",Vaqueros,2018,42,"Galindo Rodríguez, Alex",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Garces, Ruben",,2012,2737,"Garces Riquelme, Ruben",name+season_in_career,no_obs_club,single-source
player_season_leaders.csv,"Garcia, Jonathan","Criollos, Caguas",2007,1094,"Garcia Bermudez, Jonathan",name+season_in_career,confirms,single-source
player_season_leaders.csv,"Garcia, Jonathan",Caciques,2012,1094,"Garcia Bermudez, Jonathan",name+season_in_career,no_obs_club,single-source
