bsnpr_id,notes_es,birthplace,roster_team,roster_year,jersey,source_id,source_url,retrieved_at
1660,"Armador con experiencia, le da profundidad a los Vaqueros en la banca y tiene la habilidade de ser titular y guiar a cualquier equipo a la final. Buen tiro a media y larga distancia pero su velocidad lo traiciona a veces.","Fajardo, Puerto Rico",COAMO,2005,07,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233129id_/http://www.bsnpr.com:80/jugador05.asp?r2=462736RX0V&e=COAMO,2026-09-10T03:22:48Z
1693,"Su rapidez, altura y gran extensión en los brazos lo hace una amenaza en la pintura y en las tablas, en ofensiva cuenta con buenos movimientos en la pintura y su rapidez lo facilita a tener un buen tiro. Su rango de tiro puede llegar a la zona de tres puntos pero prefiere el tiro a media distancia. Desde la pintura, se apoya de la rapidez en sus piernas ya que no tiene el cuerpo para hacer espacio en dicha área.","Queens, New York",Santurce,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103906id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX1F&e=,2026-09-10T03:13:13Z
1711,Fino tirador del área de tres puntos. Jugador rápido producto de las categorías menores de San Germán.,"San German, Puerto Rico",QUEBRADILLAS,2006,07,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119233925id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX25&e=QUEBRADILLAS,2026-09-10T03:28:04Z
1739,"Buen prospecto como armador, bien ofensivo e inteligente.","Cayey, Puerto Rico",Santurce,2005,08,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103052id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462696RWZB&e=,2026-09-10T03:13:42Z
1753,Jugador rápido con un excelente brinco. Campeón de donqueos en años consecutivos en el BSN.,"Juana Diaz, Puerto Rico",MAYAGUEZ,2005,10,wayback_bsnpr_jugador05,https://web.archive.org/web/20050326204941id_/http://www.bsnpr.com:80/jugador05.asp?r2=462786RX37&e=MAYAGUEZ,2026-09-10T03:17:13Z
1759,"Uno de los mejores jugadores en la historia del BSN. Campeón anotador en el 1994 y en el 1998. Jugador fuerte bien fogoso y un líder que siempre ha sido un ganador. A nivel internacional ha jugado en España, Chipre y en la CBA en donde ha ganado muchos galardones. Ha representado a Puerto Rico hasta el 1999 y su actuación en los Panamericanos en Winnipeg, C anada fué una de las mejores en su carrera.","Brooklyn, New York",ISABELA,2006,32,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119234242id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX2A&e=ISABELA,2026-09-10T03:27:56Z
1760,'Guayacán' puede jugar la posición de armador y escolta. Como armador es uno de los mas inteligentes en el BSN siendo ordenado y tiene una fina puntería en los pases. Como escolta puede posicionarse y encestar el tiro de tres con facilidad. Es uno de los mejores anotadores en el 'clutch' en la historia de Puerto Rico y en eventos internacionales no ha sido la excepción.,"Bayamon, Puerto Rico",SANTURCE,2005,05,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065119id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462796RX3N&e=SANTURCE,2026-09-10T03:18:00Z
1766,"Ha demostrado ser un buen jugador defensivo, en ofensiva ha mejorado su rango de tiro y su tiro libre. Necesita mas velocidad para mantener el ritmo de los Capitanes.","Santo Domingo, República Dom.",ARECIBO,2006,27,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119234350id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462766RX26&e=ARECIBO,2026-09-10T03:27:31Z
1771,,"Guayanilla, Puerto Rico",PONCE,2006,20,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235020id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=GFPAQCDEDB&e=PONCE,2026-09-10T03:27:04Z
1774,"Líder en canastos de tres de todos los tiempos, jugador fuerte con buenos pases para solidificar su juego.","Santurce, Puerto Rico",COAMO,2006,07,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119234549id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462706RWZQ&e=COAMO,2026-09-10T03:27:49Z
1791,,"Dorado, Puerto Rico",QUEBRADILLAS,2005,13,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065232id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462776RX2Q&e=QUEBRADILLAS,2026-09-10T03:13:56Z
1836,"Futuro centro de la selección nacional de Puerto Rico, a su corta edad, ha demostrado ser uno de los mejores centros del BSN y pronto podrá hacer lo mismo en la NBA. Este jugador se podrá desarrollar entre los mejores del mundo, todavia le queda mucho tiempo para demostrar todo su potencial en la cancha. Cuenta con buenas habilidades ofensivas, teniendo la capacidad de anotar en la pintura y en el perímetro y en defensa reacciona muy bien y con el tiempo sera un rebotero dominante.","Fajardo, Puerto Rico",CAGUAS,2005,36,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064411id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYP&e=CAGUAS,2026-09-10T03:15:37Z
1844,"Tiene el potencial de ser uno de los mejores delanteros pequeños en el BSN, es un buen penetrador y posee un buen tiro a corta distancia con la capacidad de ser un buen tirador de tres tambien. Tiene un buen brinco y ayuda bastante en los rebotes.",Indiana,SANTURCE,2005,34,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065131id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=EIPBMRZZXC&e=SANTURCE,2026-09-10T03:15:39Z
1878,"Novas se conoce por ser un buen jugador defensivo, choca bien en la pintura ante cualquier jugador. Es rápido para su estatura y tiene un buen tiro a media distancia. Es fuerte en la pintura y durante su carrera ha ayudado bastante a los equipos en los cuales ha participado.","Sto Domingo, Rep Dominicana",BAYAMON,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233447id_/http://www.bsnpr.com:80/jugador05.asp?r2=462776RX2S&e=BAYAMON,2026-09-10T03:12:56Z
1895,"Tirador zurdo, puede destacarse en las posiciones de armador y escolta. Como armador tiene el potencial de ser uno de los mejores en la liga corriendo bien la transición y teniendo buena puntería en sus pases. Como escolta puede combinarse con Giovanni Jimenez y ser una de las mejores combinaciones en la liga. Posee la habilidad de tirar a larga distancia y es un excelente penetrador.","Arecibo, Puerto Rico",ARECIBO,2005,13,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321040528id_/http://www.bsnpr.com:80/jugador05.asp?r2=462666RWXU&e=ARECIBO,2026-09-10T03:12:44Z
1947,,New York,Santurce,2005,08,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322231142id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=QCVRXUMZKI&e=,2026-09-10T03:15:13Z
1965,,New York,CAGUAS,2005,09,wayback_bsnpr_jugador05,https://web.archive.org/web/20050415172754id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=NPVAPJSFZS&e=CAGUAS,2026-09-10T03:21:06Z
1970,Uno de los mejores armadores en la historia del BSN. Tirador zurdo con excelentes dotes ofensivos en penetraciones. En defensa puede defender hasta un delantero. Internacionalmente ha jugado en Italia y en la Selección Nacional participó en el Pre-Olímpico como armador reserva.,"Arecibo, Puerto Rico",SANTURCE,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065104id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462766RX2J&e=SANTURCE,2026-09-10T03:19:46Z
1992,"Jugador bien habilidoso que puede jugar de armador si es necesario. Buen tiro de afuera y bien ordenado en la ofensiva. En defensa es fuerte y cuenta con buenas habilidades. Un jugador completo, internacional con la selección nacional en los Centroamericanos de San Salvador.","Arecibo, Puerto Rico",SANTURCE,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321233215id_/http://www.bsnpr.com:80/jugador05.asp?r2=462776RX2K&e=SANTURCE,2026-09-10T03:15:11Z
1995,"Excelente anotador en todas áreas, es bastante rápido y puede fungir como armador. Jugador fogoso en ambos lados de la cancha y una futura estrella en el BSN.","Caguas, Puerto Rico",BAYAMON,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064623id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYM&e=BAYAMON,2026-09-10T03:18:58Z
2016,"Jugador defensa del Año en el 2003, gran taponero y uno de los mejores reboteadores en el BSN. Posee todas las habilidades de un buen jugador defensivo en la pintura y en ofensiva puede ser una arma confiable.",Venezuela,Santurce,2005,33,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103547id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462676RWY7&e=,2026-09-10T03:15:58Z
